"filename", "language", "JSON", "YAML", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\react-projects\the-wild-oasis-ts\components.json", "JSON", 0, 0, 0, 0, 0, 1, 1
"d:\react-projects\the-wild-oasis-ts\package.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"d:\react-projects\the-wild-oasis-ts\pnpm-lock.yaml", "YAML", 0, 1222, 0, 0, 0, 92, 1314
"d:\react-projects\the-wild-oasis-ts\src\App.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 11
"d:\react-projects\the-wild-oasis-ts\src\components\AvatarImageUploader.tsx", "TypeScript JSX", 0, 0, 85, 0, 0, 6, 91
"d:\react-projects\the-wild-oasis-ts\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 6, 52
"d:\react-projects\the-wild-oasis-ts\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 10, 93
"d:\react-projects\the-wild-oasis-ts\src\components\ui\login-form.tsx", "TypeScript JSX", 0, 0, 130, 0, 0, 5, 135
"d:\react-projects\the-wild-oasis-ts\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 5, 44
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\UpdatePasswordForm.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 7, 88
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\UpdateUserDataForm.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 8, 81
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\useLogin.ts", "TypeScript", 0, 0, 0, 19, 0, 4, 23
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\useLogout.ts", "TypeScript", 0, 0, 0, 15, 0, 4, 19
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\useSignup.ts", "TypeScript", 0, 0, 0, 16, 0, 3, 19
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\CreateUserForm.tsx", "TypeScript JSX", 0, 0, 187, 0, 0, 9, 196
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\UserColumns.tsx", "TypeScript JSX", 0, 0, 149, 0, 0, 6, 155
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\UserFormDialog.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 3, 34
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\UsersDataTable.tsx", "TypeScript JSX", 0, 0, 125, 0, 2, 12, 139
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\UsersTableOperations.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 3, 32
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useDeleteUser.ts", "TypeScript", 0, 0, 0, 14, 0, 3, 17
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useUpdateUser.ts", "TypeScript", 0, 0, 0, 15, 0, 4, 19
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useUser.ts", "TypeScript", 0, 0, 0, 22, 0, 4, 26
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useUsers.ts", "TypeScript", 0, 0, 0, 35, 1, 5, 41
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingColumns.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 3, 38
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingDataBox.tsx", "TypeScript JSX", 0, 0, 99, 0, 0, 10, 109
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingDetail.tsx", "TypeScript JSX", 0, 0, 94, 0, 0, 10, 104
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingFormDialog.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 4, 43
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingsDataTable.tsx", "TypeScript JSX", 0, 0, -7, 0, -1, -3, -11
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\CreateBookingForm.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 5, 35
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\useBooking.ts", "TypeScript", 0, 0, 0, 26, 0, 3, 29
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\useBookings.ts", "TypeScript", 0, 0, 0, 40, 0, 4, 44
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\useDeleteBooking.ts", "TypeScript", 0, 0, 0, 17, 0, 2, 19
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CabinColumns.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 1
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CabinsDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 1
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CreateCabinForm.tsx", "TypeScript JSX", 0, 0, 0, 0, -6, 0, -6
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\ImageUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, -1
"d:\react-projects\the-wild-oasis-ts\src\features\check-in-out\CheckinBooking.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 14, 135
"d:\react-projects\the-wild-oasis-ts\src\features\check-in-out\useCheckin.ts", "TypeScript", 0, 0, 0, 29, 0, 3, 32
"d:\react-projects\the-wild-oasis-ts\src\features\check-in-out\useCheckout.ts", "TypeScript", 0, 0, 0, 16, 0, 3, 19
"d:\react-projects\the-wild-oasis-ts\src\hooks\use-file-upload.ts", "TypeScript", 0, 0, 0, 345, 13, 53, 411
"d:\react-projects\the-wild-oasis-ts\src\hooks\useMoveBack.ts", "TypeScript", 0, 0, 0, 5, 0, 2, 7
"d:\react-projects\the-wild-oasis-ts\src\hooks\useSortableColumn.ts", "TypeScript", 0, 0, 0, 32, 4, 9, 45
"d:\react-projects\the-wild-oasis-ts\src\hooks\useSortableColumn.tsx", "TypeScript JSX", 0, 0, -32, 0, -4, -9, -45
"d:\react-projects\the-wild-oasis-ts\src\pages\Account.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 3, 23
"d:\react-projects\the-wild-oasis-ts\src\pages\Booking.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 2, 6
"d:\react-projects\the-wild-oasis-ts\src\pages\Bookings.tsx", "TypeScript JSX", 0, 0, 13, 0, 1, 1, 15
"d:\react-projects\the-wild-oasis-ts\src\pages\Checkin.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 2, 6
"d:\react-projects\the-wild-oasis-ts\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 1, 8
"d:\react-projects\the-wild-oasis-ts\src\pages\Users.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 3, 30
"d:\react-projects\the-wild-oasis-ts\src\services\apiAuth.ts", "TypeScript", 0, 0, 0, 106, 3, 28, 137
"d:\react-projects\the-wild-oasis-ts\src\services\apiBookings.ts", "TypeScript", 0, 0, 0, 52, 0, 11, 63
"d:\react-projects\the-wild-oasis-ts\src\services\supabase.ts", "TypeScript", 0, 0, 0, 3, 0, 2, 5
"d:\react-projects\the-wild-oasis-ts\src\ui\ClientPagination.tsx", "TypeScript JSX", 0, 0, 98, 0, 0, 5, 103
"d:\react-projects\the-wild-oasis-ts\src\ui\DarkModeToggle.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 2, 11
"d:\react-projects\the-wild-oasis-ts\src\ui\DataItem.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 3, 20
"d:\react-projects\the-wild-oasis-ts\src\ui\DataTablePagination.tsx", "TypeScript JSX", 0, 0, -135, 0, -2, -11, -148
"d:\react-projects\the-wild-oasis-ts\src\ui\DeleteConfirmationDialog.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 2
"d:\react-projects\the-wild-oasis-ts\src\ui\FilterInput.tsx", "TypeScript JSX", 0, 0, 0, 0, -2, 0, -2
"d:\react-projects\the-wild-oasis-ts\src\ui\Flag.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 1, 6
"d:\react-projects\the-wild-oasis-ts\src\ui\Header.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 1, 6
"d:\react-projects\the-wild-oasis-ts\src\ui\HeaderMenu.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 4, 112
"d:\react-projects\the-wild-oasis-ts\src\ui\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 5, 28
"d:\react-projects\the-wild-oasis-ts\src\ui\ServerPagination.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 8, 109
"Total", "-", 3, 1222, 1757, 807, 9, 384, 4182